horizon,bh,up95,low95,seh
-3,.024818001,.15905263,-.10941662,.068487056
-2,.004778164,.10397161,-.094415277,.050608899
-1,0,0,0,0
0,.066310607,.16010059,-.027479375,.047852032
1,.074353911,.17703919,-.028331365,.052390449
2,.032666452,.11504543,-.04971252,.042030089
3,-.030833445,.067221642,-.12888853,.050028104
4,.029311029,.14161658,-.082994528,.057298753
5,.17471111,.32314298,.026279241,.075730547
6,.093075179,.23154567,-.045395315,.070648208
7,.030512137,.18441661,-.12339234,.07852269
8,.040812671,.17719001,-.095564671,.069580272
9,.087704018,.21457884,-.039170809,.064732052
