horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.048186183,.12879264,-.032420274,.041125745,-.035466138,.041986309,,
-2,-.008746108,.026793567,-.044285782,.018132487,-.016253181,.027721383,,
-1,0,0,0,0,0,0,,
0,.031097336,.099650085,-.03745541,.03497589,.036497843,.025028564,.039508585,.026344744
1,.11909474,.24817508,-.009985609,.065857321,.042676494,.046971392,.049326334,.050900627
2,.20665836,.37104508,.042271651,.083870769,.068181574,.068366937,.085864104,.071843602
3,.29426053,.48222026,.10630081,.095897816,.11662377,.092792869,.14325929,.094866186
4,.34052548,.59110636,.089944586,.12784739,.2305655,.11604834,.26519442,.11741513
5,.33461726,.61529392,.05394062,.14320236,.30243069,.13343389,.34750119,.13200772
6,.30766264,.56421918,.051106077,.13089621,.2202858,.15033656,.2733151,.14997448
7,.34621236,.62450314,.067921594,.14198509,.21418229,.1569234,.26032776,.16121885
8,.35889024,.74534112,-.027560662,.19716883,.143785,.17295595,.20216978,.17524137
9,.22959466,.56788629,-.10869699,.17259778,.18695465,.20039187,.25023583,.20472898
