horizon,bh,up95,low95,seh
-3,.010527865,.14802308,-.12696736,.070150621
-2,-.018154122,.05896638,-.09527462,.039347194
-1,0,0,0,0
0,-.072979525,.0066254353,-.15258448,.040614776
1,-.077291347,.051428631,-.20601133,.065673456
2,-.15074976,-.0065758671,-.29492366,.073558107
3,-.25572637,-.03898529,-.47246745,.11058218
4,-.23348725,.018971946,-.48594645,.12880571
5,-.20808032,.096091822,-.51225245,.15518987
6,-.08607123,.19668415,-.3688266,.14426294
7,.0019701347,.33247083,-.32853058,.16862281
8,.078507543,.54467684,-.38766176,.23784149
9,-.034152701,.43637851,-.50468391,.24006695
