horizon,bh,up95,low95,seh
-3,.011793868,.26114288,-.23755515,.12721889
-2,-.054212037,.09542945,-.20385353,.076347701
-1,0,0,0,0
0,.68798429,.8491047,.52686387,.082204297
1,.87013054,1.1821612,.55809987,.15919934
2,.70662969,1.1141574,.29910195,.20792232
3,.61582983,1.0920811,.1395786,.24298532
4,.59154427,1.1023616,.080726974,.26062107
5,.468009,1.1014121,-.16539411,.32316485
6,.21621802,.91746557,-.48502949,.35777935
7,.05336355,.70168722,-.59496009,.33077738
8,-.15358438,.54979718,-.85696596,.35886815
9,-.11038925,.48775008,-.70852858,.30517313
