horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.028720008,.44164768,-.38420764,.21067737,.025522189,.070314921,,
-2,-.0086066304,.18232128,-.19953454,.097412199,-.016335588,.025791021,,
-1,0,0,0,0,0,0,,
0,.79500049,1.0052409,.58476007,.10726552,-.048875369,.036718369,.1012304,.056982007
1,.99333078,1.3733091,.61335242,.19386651,-.078967795,.060430828,.090872593,.079783112
2,.85556829,1.3782465,.33289,.26667258,-.13538091,.089040101,.017080564,.091820963
3,.67336297,1.2632874,.083438568,.30098185,-.048632178,.10192072,.057056472,.10218757
4,.57854992,1.1829462,-.025846371,.30836546,-.010769524,.10948402,.072089687,.10597193
5,.56354237,1.3542576,-.2271729,.40342617,.028270667,.15540887,.1209463,.14273381
6,.079325192,.9546715,-.7960211,.44660527,.17026131,.18463898,.18585347,.14727427
7,-.24061289,.87873423,-1.3599601,.57109547,.20914505,.22395483,.17014061,.16937816
8,-.26223668,.83450091,-1.3589743,.55956,.1717369,.24279988,.13479221,.19797333
9,-.17104383,.74594802,-1.0880357,.46785298,.071878344,.24322581,.094968319,.20797434
