horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.050910138,.46597543,-.36415517,.211768,.029704286,.065964967,,
-2,.097798876,.48077306,-.28517532,.19539499,-.037925787,.042341266,,
-1,0,0,0,0,0,0,,
0,.29356393,.62978661,-.042658743,.17154218,.11493298,.11754981,.11903232,.10692652
1,.30126551,.8097744,-.2072434,.25944331,.17734359,.14385179,.1792749,.14488794
2,.33392504,.86501449,-.19716442,.270964,.27924302,.17661279,.26979077,.17535536
3,.43529958,1.0531477,-.18254854,.31522864,.25452933,.19416961,.24613903,.20254703
4,.21966448,.90140551,-.46207654,.34782705,.2921862,.2010532,.25551248,.20980471
5,.42043677,1.0920259,-.25115234,.34264749,.37566915,.22356088,.33108261,.22615819
6,.59638613,1.1792132,.013559145,.29736072,.16958332,.22813725,.14450991,.22134201
7,.67372823,1.3491715,-.0017150844,.34461394,.17945614,.25608879,.15935715,.24557863
8,.47623193,1.0303169,-.077853136,.28269646,.2111302,.25314456,.21699958,.23843662
9,.25547045,.75157201,-.24063112,.25311306,.31672689,.25165987,.28469813,.24360383
