horizon,bh,up95,low95,seh
-3,.034881007,.17007461,-.1003126,.068976328
-2,.015922863,.089973055,-.058127329,.03778071
-1,0,0,0,0
0,.061855007,.12616156,-.0024515439,.032809466
1,.086514428,.16719456,.0058342903,.041163336
2,.078587882,.17718831,-.020012541,.050306339
3,.035182055,.13691138,-.066547267,.051902715
4,.046228405,.16720657,-.074749768,.061723556
5,.15185072,.27740797,.026293449,.064059831
6,.12039462,.2515735,-.010784279,.066928007
7,.11968532,.24772839,-.0083577428,.065328091
8,.12384724,.24155761,.0061368616,.060056314
9,.13146429,.29056063,-.027632063,.081171609
