horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.011305242,.13780561,-.11519513,.064541005,.011832388,.024803344,,
-2,-.062599577,.036578901,-.16177805,.050601263,.046163198,.017250232,,
-1,0,0,0,0,0,0,,
0,.10404583,.21212719,-.0040355376,.055143554,-.026883125,.019859375,-.0075302212,.015065214
1,.075071849,.18983281,-.039689109,.058551509,-.0038865767,.017770978,-.003468662,.01630892
2,.047625642,.16425356,-.069002271,.05950404,-.015302987,.015312008,-.0067142365,.0069692153
3,.018808004,.14730033,-.10968432,.065557308,-.035878737,.015222611,-.026781591,.0032609478
4,.046967313,.19433798,-.10040335,.075189114,-.015593387,.020401511,-.010462925,.011053231
5,.17570217,.3328709,.018533425,.080188133,-.0070290021,.019773003,.01189451,.018870519
6,.12770392,.26962847,-.014220639,.072410487,-.03282946,.023644881,-.0082927365,.021194806
7,.076155297,.24547146,-.093160875,.086385801,-.03388226,.025737368,-.012078743,.021332379
8,.07474824,.24972269,-.1002262,.089272678,-.021924648,.022147264,-.011089681,.014349318
9,.10969259,.26464981,-.04526462,.079059802,-.01102435,.019491505,-.0048362943,.015803797
