horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.049989711,.21874923,-.31872866,.13711171,-.0043201232,.071863569,,
-2,-.13964865,.050237615,-.32953492,.096880749,.0053260666,.048742626,,
-1,0,0,0,0,0,0,,
0,.66251791,.88006467,.44497114,.11099325,-.023206025,.065698035,.0074933516,.077123165
1,.73941481,1.0904753,.38835436,.17911248,-.00070532592,.11266815,.041051291,.12977459
2,.54411262,.98592085,.10230441,.22541235,.0072878837,.1209583,.046410952,.1336966
3,.40067649,.87211937,-.070766367,.24053207,.040483072,.144437,.038259923,.14997862
4,.39212736,.88615543,-.10190068,.25205514,.041362118,.16631001,.027961213,.17103797
5,.2271542,.8549456,-.40063718,.32030171,-.10088293,.19905764,-.087821245,.20072289
6,.05574137,.70247573,-.59099299,.32996652,-.086713754,.19961503,-.09323521,.19945017
7,-.041308682,.56452912,-.64714646,.3091009,-.15752631,.17956212,-.18607397,.18430506
8,-.18113323,.47295034,-.83521676,.33371609,-.12483367,.15982656,-.17155489,.16277434
9,-.30313092,.3080048,-.91426665,.31180394,-.12134538,.16231401,-.18781024,.1654036
