horizon,bh,up95,low95,seh
-3,.052566905,.6735357,-.56840187,.3168208
-2,.086701117,.39575702,-.22235477,.15768158
-1,0,0,0,0
0,.39935446,.67119223,.12751667,.13869275
1,1.0644168,1.6967796,.43205398,.32263407
2,1.141299,2.0028057,.27979237,.4395442
3,1.229529,2.3355837,.12347428,.56431365
4,1.3788911,2.6176367,.14014547,.63201308
5,2.2496059,3.8508489,.64836282,.81696075
6,2.1502962,3.7122636,.5883289,.79692209
7,2.0121257,3.5974472,.42680433,.80883747
8,2.0081472,3.7717721,.24452244,.89980859
9,1.9902,3.6950147,.28538543,.86980337
