horizon,bh,up95,low95,seh
-3,.083239101,.23066084,-.064182632,.075215168
-2,.0972405,.18318398,.011297017,.043848716
-1,0,0,0,0
0,.1029634,.1981459,.0077809142,.048562493
1,.25547853,.46184734,.049109738,.1052902
2,.20901085,.45777857,-.039756853,.12692229
3,.20385966,.48717591,-.079456612,.14454912
4,.30226544,.65460932,-.050078429,.17976728
5,.45934072,.89337188,.025309568,.22144447
6,.46940768,.94439244,-.0055770893,.24233916
7,.46348363,.9782967,-.051329445,.26265973
8,.46714279,.99028683,-.056001253,.26691023
9,.5316537,1.0309453,.032362133,.2547406
