horizon,bh,up95,low95,seh
-3,-.082265377,.15229304,-.31682381,.11967266
-2,-.1518961,.0096691102,-.3134613,.082431234
-1,0,0,0,0
0,.64129549,.85058099,.43200999,.10677832
1,.7323209,1.0666553,.39798647,.17057879
2,.55469573,1.006382,.10300951,.23045215
3,.43207315,.89272654,-.028580273,.23502725
4,.36606023,.84015006,-.10802961,.24188256
5,.20802633,.81723577,-.40118313,.31082115
6,.091977708,.71966124,-.5357058,.3202467
7,-.026432658,.55593467,-.60879999,.29712617
8,-.18642125,.42697167,-.79981416,.31295559
9,-.22721024,.35581169,-.81023216,.29746017
