horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.00096758024,.12456895,-.12650411,.064049251,.028784186,.021812513,,
-2,-.031905461,.0078543657,-.071665287,.020285625,.021699131,.0078054983,,
-1,0,0,0,0,0,0,,
0,.035533778,.10411614,-.033048585,.034991004,.0047801821,.013961865,.0068635484,.013190567
1,.17364033,.32872239,.018558271,.079123497,-.037794642,.022355149,-.006902501,.02225597
2,.32361034,.51548707,.13173361,.097896285,-.082697012,.030698963,-.013345994,.027465707
3,.40957099,.61551142,.20363055,.10507166,-.065596223,.029185137,.0059302743,.031360757
4,.50617796,.77826881,.23408711,.13882187,-.094413519,.041822068,-.0045070453,.043967918
5,.52018213,.87486446,.16549981,.18096037,-.13556497,.058995694,-.044955622,.051885117
6,.47026077,.83005035,.11047117,.18356612,-.11422437,.076478042,-.018049031,.063937992
7,.49894705,.89016753,.10772659,.19960228,-.10465135,.080592848,.0051526809,.06784384
8,.47585657,.94692457,.0047886004,.2403408,-.085796557,.089268751,.016148595,.087212339
9,.3407999,.83463788,-.15303807,.25195816,-.084001191,.10158549,.012411891,.096796103
