horizon,bh,up95,low95,seh
-3,.019580534,.17053771,-.13137664,.077018969
-2,-.016224114,.058471803,-.090920031,.038110163
-1,0,0,0,0
0,.17352809,.3039473,.043108877,.066540413
1,.17285025,.45091629,-.10521579,.14187042
2,.2066216,.50794083,-.094697632,.15373431
3,.20917788,.39547566,.022880102,.095049888
4,.2297115,.45832345,.0010995438,.11663876
5,.30067894,.60672575,-.0053678742,.15614633
6,.20517711,.51913118,-.10877696,.16018064
7,.12159923,.2871992,-.044000756,.084489785
8,.18659182,.4371849,-.064001262,.12785362
9,.49337092,.75151032,.2352315,.13170379
