horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.031832315,.17997825,-.11631362,.075584665,-.000021531521,.0046417001,,
-2,.016041752,.099682003,-.067598499,.042673599,-.0014863772,.00285132,,
-1,0,0,0,0,0,0,,
0,-.020619329,.048766032,-.09000469,.035400696,.0036283608,.0031757141,.0045060115,.00289725
1,.061586339,.19017491,-.067002229,.065606415,.0076035834,.0042733122,.010120509,.0048848819
2,.17115031,.32880303,.013497577,.080435067,.0052691204,.0062777498,.011015792,.0055255285
3,.33765772,.57067811,.1046373,.11888797,-.0018117399,.0099027883,.0080731474,.010102951
4,.28294969,.5567916,.0091077397,.13971528,-.0033563203,.0077968733,.0058142752,.0090890815
5,.45739913,.75004578,.16475251,.1493095,-.015556206,.0072108284,-.00040601473,.00822578
6,.29841593,.5957461,.0010857702,.15169907,-.0027310173,.0044392617,.0048039146,.0072699445
7,.26249582,.57394481,-.048953157,.15890254,.0019714725,.0081431884,.010505625,.0063754567
8,.087058052,.56927347,-.39515737,.24602827,.0080385553,.0083782831,.012889248,.0061154575
9,.15006022,.78230512,-.48218468,.32257393,-.0021128878,.0093548307,.0054657222,.0045140754
