horizon,bh,up95,low95,seh
-3,.017876739,.15120034,-.11544687,.068022244
-2,-.01345218,.07186836,-.09877272,.043530885
-1,0,0,0,0
0,.11679989,.21107477,.022525016,.048099425
1,.054388873,.22407582,-.11529808,.086574972
2,.11129841,.34116396,-.11856714,.11727834
3,.24978581,.4718796,.027692011,.11331316
4,.27789629,.54843676,.0073558306,.13803084
5,.36471084,.67431116,.055110529,.15795934
6,.21727991,.47628939,-.041729566,.1321477
7,.027300982,.21559969,-.16099772,.096070766
8,.074614167,.38441965,-.23519132,.15806402
9,.067102581,.44975543,-.31555027,.19523105
