horizon,bh,up95,low95,seh
-3,.061359718,.35229382,-.22957438,.14843577
-2,-.029171415,.15108001,-.20942284,.09196502
-1,0,0,0,0
0,.73561519,.94208592,.52914447,.10534222
1,.89931065,1.2578307,.54079056,.1829184
2,.69382203,1.1769986,.21064539,.24651869
3,.61521876,1.169849,.06058846,.28297463
4,.5654428,1.1173854,.013500269,.28160334
5,.59315062,1.3260595,-.13975824,.37393311
6,.25807676,.99451971,-.47836617,.37573621
7,-.022818752,.89869505,-.94433254,.4701601
8,-.10211296,.87407506,-1.078301,.49805513
9,-.10671086,.6872316,-.90065336,.40507269
