horizon,bh,up95,low95,seh
-3,-.028519966,.082321405,-.13936134,.056551721
-2,-.030502785,.021319842,-.082325414,.026440116
-1,0,0,0,0
0,-.040240046,.036612984,-.11709307,.039210729
1,-.081334092,.030664314,-.19333249,.057142045
2,-.084403872,.043852828,-.21266058,.065437093
3,-.17439473,-.0096953064,-.33909413,.084030315
4,-.20457651,.00086134311,-.41001436,.10481523
5,-.17267635,.067345783,-.41269848,.12246028
6,-.076468796,.14041333,-.29335093,.11065415
7,-.037341699,.22108556,-.29576895,.13185064
8,.0033706478,.36488754,-.35814625,.18444739
9,-.066520743,.28791484,-.42095631,.18083447
