horizon,bh,up95,low95,seh
-3,.11812625,.32993665,-.093684159,.10806654
-2,.15720755,.2761443,.038270809,.06068201
-1,0,0,0,0
0,.037253533,.12997712,-.055470053,.047307953
1,.10579161,.33068132,-.1190981,.11473966
2,.044833105,.37833062,-.2886644,.17015179
3,-.010134449,.41939282,-.43966174,.21914656
4,.032392211,.57608002,-.51129562,.27739173
5,.20166193,.96424812,-.56092429,.38907459
6,.36437523,1.2586761,-.52992558,.45627591
7,.38948882,1.4049624,-.62598485,.51809877
8,.44748935,1.5915138,-.69653499,.58368587
9,.41984975,1.6702114,-.83051193,.63793963
