horizon,bh,up95,low95,seh
-3,.10057111,.41963536,-.21849315,.16278788
-2,-.0060456442,.17488842,-.18697971,.092313297
-1,0,0,0,0
0,.71451724,.92360991,.50542456,.10667993
1,.88302439,1.2730356,.49301314,.19898534
2,.64771998,1.206816,.088624053,.28525302
3,.56943285,1.2202922,-.081426531,.33207113
4,.48857254,1.2219397,-.24479462,.37416694
5,.46512008,1.5737168,-.64347661,.56561059
6,.0753235,1.329262,-1.1786151,.63976455
7,-.21617959,1.3235123,-1.7558715,.78555709
8,-.21869355,1.5711236,-2.0085108,.91317201
9,-.31662157,1.4838452,-2.1170883,.91860551
