horizon,bh,up95,low95,seh
-3,.054698665,.69383413,-.58443677,.32608953
-2,-.047463991,.39103848,-.48596647,.22372575
-1,0,0,0,0
0,.57236117,1.037874,.10684841,.23750651
1,.69733655,1.2568191,.13785404,.28545025
2,.67039448,1.5211033,-.18031429,.43403509
3,.86417198,2.0047636,-.27641964,.58193451
4,.69544393,1.8738651,-.4829773,.60123533
5,1.1207836,2.1773319,.064235307,.53905523
6,1.2435726,2.0410581,.44608712,.40688035
7,1.7332973,2.6191485,.84744614,.45196491
8,1.4617422,2.377414,.5460704,.46717948
9,1.1709335,2.2949998,.046867106,.57350326
