horizon,bh,up95,low95,seh
-3,.088864304,.41726723,-.23953862,.16755252
-2,-.046274442,.16646676,-.25901565,.10854143
-1,0,0,0,0
0,.1930882,.4082754,-.022098973,.10978938
1,.35754007,.63947594,.075604178,.14384484
2,.13342077,.59394759,-.32710609,.23496267
3,.27619797,.78788376,-.23548783,.26106417
4,.099064842,.69435906,-.49622938,.30372155
5,.21202144,.68052971,-.25648686,.23903485
6,.4351258,.91251278,-.042261168,.24356478
7,.42923278,.96059614,-.10213061,.27110377
8,.39152744,.8546527,-.071597815,.2362884
9,.19122785,.61938846,-.23693274,.21844928
