horizon,bh,up95,low95,seh
-3,.1457206,.48152268,-.19008148,.17132759
-2,.018535594,.27660304,-.23953184,.13166706
-1,0,0,0,0
0,.30670822,.72138953,-.10797311,.21157211
1,.7365185,1.406006,.067030989,.34157526
2,.71745622,1.6139731,-.1790607,.45740658
3,.87095702,2.2477567,-.50584263,.70244879
4,1.1451252,2.6879148,-.39766461,.78713763
5,1.2137591,2.6722565,-.24473839,.74413133
6,.80971789,2.6023664,-.98293066,.91461664
7,.83238161,2.7766256,-1.1118624,.99196124
8,1.1925998,4.006227,-1.6210274,1.4355241
9,.813802,3.3591294,-1.7315254,1.2986364
