horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.016178206,.17579268,-.14343627,.081435956,.29035628,.46286193,,
-2,-.019101398,.076272674,-.11447547,.048660241,.19297545,.2429875,,
-1,0,0,0,0,0,0,,
0,-.058566149,.031788729,-.14892103,.046099428,-.0077589336,.14728357,-.068035297,.18660177
1,-.053994041,.08103165,-.18901972,.068890661,-.65484309,.27854934,-.51124293,.33637169
2,-.20468514,-.016687937,-.39268234,.095916942,-.58101082,.43196958,-.60409588,.38975117
3,-.26167113,.03493854,-.55828077,.15133147,-.5423581,.49433634,-.34477252,.45106229
4,-.22261105,.11395534,-.55917746,.17171755,-.08966884,.64845937,-.17743619,.52208477
5,-.1208746,.23472683,-.47647604,.18142931,-.37135285,.62675411,-.36071318,.48694441
6,.03187295,.36225733,-.29851142,.16856346,-.95170248,.73500532,-.72628814,.54204595
7,.090036072,.52543801,-.34536588,.22214386,-1.5572889,.73293149,-1.3057125,.54278344
8,.17717367,.69333726,-.33898988,.26334876,-2.2754002,.84584486,-1.6028298,.62112147
9,.13064717,.62599128,-.36469698,.25272661,-1.9387341,.8701784,-1.3260158,.66154671
