horizon,bh,up95,low95,seh
-3,-.020510908,.08886569,-.12988751,.05580439
-2,.001794169,.047431417,-.043843079,.02328431
-1,0,0,0,0
0,.067071728,.14046519,-.0063217338,.037445646
1,.061726142,.19280228,-.069349997,.066875584
2,.071297973,.24205047,-.099454522,.087118618
3,.19953853,.39069834,.0083787087,.097530521
4,.10000055,.29033417,-.090333082,.097108997
5,.26096249,.47047368,.051451284,.10689347
6,.092142493,.25733346,-.073048458,.084281102
7,-.069246583,.10815586,-.24664903,.090511449
8,.021998163,.17548384,-.1314875,.078309014
9,.04043512,.25056663,-.16969641,.10720996
