horizon,bh,up95,low95,seh
-3,.016135806,.17232463,-.14005302,.079688177
-2,-.0099893594,.068448491,-.088427208,.040019311
-1,0,0,0,0
0,-.057461269,.056325406,-.17124794,.058054425
1,.07305143,.27304527,-.1269424,.10203767
2,.20883745,.40927401,.0084008966,.10226355
3,.37221688,.62242019,.12201358,.12765475
4,.31872424,.5796442,.057804298,.13312243
5,.37770614,.64071757,.11469474,.13418949
6,.26315063,.51212686,.014174429,.12702867
7,.19060569,.48633879,-.10512741,.15088423
8,.086501732,.46004403,-.28704056,.19058281
9,.033492919,.43021253,-.36322668,.20240796
