horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.0093427785,.14615308,-.12746753,.069801174,.00043469697,.0059652203,,
-2,-.0076839961,.090136178,-.10550417,.049908251,.00062524935,.0037873778,,
-1,0,0,0,0,0,0,,
0,-.06427826,.030035393,-.15859191,.04811921,-.0040990207,.0040825251,-.0055952976,.0041505019
1,-.015724303,.14452867,-.17597729,.081761725,-.014700142,.0064869728,-.013298144,.0060233325
2,-.10820293,.12325884,-.33966473,.11809275,-.0094003715,.010961797,-.012371044,.0076650074
3,-.26496908,-.053139623,-.47679853,.10807625,-.0070292554,.0079748938,-.012801151,.0072625405
4,-.34204715,-.06655281,-.61754149,.14055835,.0043588541,.01027249,-.0028801605,.0054098219
5,-.35608783,-.0091200555,-.70305562,.17702438,.019837467,.0066861073,.0098799961,.0052628317
6,-.039292824,.22445893,-.30304459,.13456723,-.0088359993,.0077506062,-.0092286021,.0071576061
7,.10362068,.39760178,-.19036044,.14999036,-.018766694,.0088923294,-.0097951358,.011125725
8,.17506547,.59505862,-.24492766,.21428221,-.018693401,.012345022,-.012818537,.013116515
9,.00078090426,.47207794,-.47051612,.24045767,-.016063396,.014599864,-.014426886,.013778124
