horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.062946953,.22244005,-.096546143,.081374027,-.034201413,.029070143,,
-2,-.022846621,.06569396,-.1113872,.045173764,.0030744472,.017941466,,
-1,0,0,0,0,0,0,,
0,-.017402664,.075732194,-.11053752,.047517788,-.036733784,.01865341,-.023918888,.016180208
1,.0050550532,.13579708,-.12568699,.066705123,-.0553228,.029206306,-.032973487,.03220056
2,-.17420986,.00098321133,-.34940293,.089384221,.015875664,.01816909,.00051726663,.023904594
3,-.25713813,-.00055621821,-.51372004,.13090914,.00095746561,.025744557,-.030013198,.024196709
4,-.26376405,.064064465,-.59159255,.16725945,.020159144,.039953168,-.004568405,.026738899
5,-.18453364,.16710243,-.53616971,.17940615,-.017271399,.038353018,-.03090355,.024115846
6,.011675509,.3103812,-.28703019,.15240087,-.071785286,.052622396,-.046304949,.039030436
7,.065702111,.4591749,-.32777068,.20075142,-.046763685,.062049486,.0029911275,.059075963
8,.063232914,.55589521,-.42942935,.2513583,.0122338,.089418679,.039486658,.080119379
9,-.036286216,.44513091,-.51770335,.24562098,.0017882081,.092294663,.032241527,.088452034
