horizon,bh,up95,low95,seh
-3,-.38336855,.056456681,-.82319379,.22440062
-2,-.53207684,-.13829485,-.92585886,.20090918
-1,0,0,0,0
0,.62956768,1.022627,.23650837,.20054047
1,.55408269,1.2864496,-.17828418,.37365657
2,-.053065635,.7006644,-.80679566,.38455614
3,-.012659037,.67483348,-.70015156,.35076147
4,.047629695,.78031331,-.68505388,.37381816
5,-.45470119,.3744266,-1.283829,.42302439
6,-.34100631,.48987138,-1.1718841,.4239172
7,-.091697685,.84622049,-1.0296159,.47852966
8,-.32875222,.82512182,-1.4826263,.58871126
9,-.60231137,.30443671,-1.5090594,.46262658
