horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.26234332,.081939094,-.60662574,.17565429,.1456584,.046501029,,
-2,-.11341018,.211041,-.43786135,.16553631,.09345527,.044832073,,
-1,0,0,0,0,0,0,,
0,-.10001397,.075986415,-.27601436,.089796111,.18439148,.066397958,.15914369,.063325979
1,-.033358775,.57835817,-.64507574,.31210047,.15911755,.10576501,.15518872,.071666934
2,.064830981,.68208051,-.55241853,.31492323,.090974011,.099435769,.12143627,.086815469
3,.23927286,.92695922,-.44841349,.35086039,.066548698,.10555644,.1173279,.096209817
4,.078461915,.81185049,-.65492666,.37417784,.0014430016,.086084299,.037856054,.093177982
5,.43576643,1.1229635,-.25143072,.35061079,-.034368824,.0815906,.083318442,.0929223
6,.33941895,.8578465,-.17900863,.26450387,.077036738,.10377151,.16299552,.094123289
7,.35225233,.9668715,-.2623668,.3135812,.097464032,.13618472,.18837808,.11649493
8,.25829592,.91156846,-.39497665,.33330232,.074688569,.1093768,.13304144,.074151337
9,.21294199,.84614307,-.42025906,.32306176,-.012197657,.088403337,.049796358,.067011006
