horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.089877717,.26472029,-.084964864,.089205399,.70033675,.34231943,,
-2,.10240392,.20561096,-.00080312614,.052656654,.29087716,.15516661,,
-1,0,0,0,0,0,0,,
0,.055209704,.16191289,-.051493488,.054440401,-.16296308,.11558557,-.14570466,.12731305
1,.21427611,.4452641,-.016711885,.11785102,-.55705762,.27726182,-.59326375,.25871497
2,.21139678,.50235105,-.079557464,.14844604,-.98273921,.53045541,-1.0610521,.48068556
3,.1996302,.52660269,-.12734231,.1668227,-.903382,.69320434,-1.074218,.65128148
4,.28699115,.65005988,-.076077566,.18523914,-.90749592,.67899203,-1.1686978,.65431237
5,.54932833,1.0195537,.07910303,.23991087,-1.1116265,.77706194,-1.3382261,.77848566
6,.55545551,1.0855973,.025313759,.27048048,-.95550019,.90302896,-1.3963259,.92715847
7,.49679035,1.0370516,-.043470833,.27564347,-.75771332,1.0140328,-1.3696471,1.0479914
8,.47009221,1.0468241,-.10663971,.29425099,-.5895015,1.1173182,-1.3568821,1.1247129
9,.55133426,1.137004,-.034335542,.29881114,-.63379151,1.124053,-1.251107,1.1175271
