horizon,bh,up95,low95,seh
-3,.18194796,.48693871,-.12304278,.15560752
-2,.018798159,.16859952,-.1310032,.076429263
-1,0,0,0,0
0,.50922614,.79379845,.22465383,.14518996
1,.64376861,1.0670265,.22051074,.2159479
2,.5123176,1.0694914,-.04485618,.28427234
3,.4773137,1.1091937,-.15456629,.32238775
4,.43552223,1.1231914,-.25214687,.35085157
5,.44635502,1.5028499,-.61013997,.53902805
6,-.15730913,1.0565716,-1.3711898,.61932689
7,-.20971426,1.3599356,-1.7793642,.80084181
8,-.32790884,1.5747803,-2.230598,.97075981
9,.083997376,1.67511,-1.5071152,.81179214
