horizon,bh,up95,low95,seh
-3,.044616804,.16582161,-.076587997,.061839186
-2,.0049286,.11134144,-.10148424,.054292265
-1,0,0,0,0
0,.075470515,.15765908,-.0067180493,.04193294
1,.10239035,.19101626,.013764443,.045217298
2,.044323374,.1219124,-.033265647,.039586235
3,-.012092708,.084660068,-.10884549,.049363662
4,.036158174,.13659629,-.064279944,.051243939
5,.1788253,.30125815,.056392465,.062465735
6,.072400317,.20753014,-.062729515,.068943791
7,.067891456,.20871742,-.072934508,.071849979
8,.086904697,.20632708,-.032517686,.060929786
9,.11648391,.21772042,.015247402,.05165128
