horizon,bh,up95,low95,seh
-3,.01778671,.1486066,-.11303318,.066744842
-2,.0058982181,.070969969,-.059173528,.033199873
-1,0,0,0,0
0,-.029916475,.052141033,-.11197398,.041866075
1,.075077705,.22637634,-.07622093,.077193178
2,.18910724,.36373535,.014479121,.08909598
3,.32573944,.57030213,.08117675,.12477688
4,.27322662,.54323322,.0032200022,.13775848
5,.36500901,.64910412,.080913916,.14494647
6,.25762087,.53356433,-.018322574,.14078747
7,.21000978,.51092499,-.090905413,.15352815
8,.096903078,.53133082,-.33752465,.2216468
9,.073908947,.58277231,-.4349544,.25962415
