horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.16062322,.33882755,-.017581113,.090920582,.0056661433,.0068390509,,
-2,.10428084,.20613247,.0024292057,.051965117,.0048287977,.0028911403,,
-1,0,0,0,0,0,0,,
0,.093817316,.20032762,-.012692982,.054341991,-.0020848978,.0047254981,.0012639913,.0049855602
1,.19882493,.40799847,-.010348606,.10672119,.003171419,.0064629507,.0074085589,.0076638535
2,.13716942,.39663616,-.12229732,.13238099,.0094039831,.006934531,.011086677,.0080101518
3,.12699851,.43248239,-.17848536,.15585913,.0073314342,.0077397516,.007599968,.0095601473
4,.18523096,.54321957,-.17275767,.18264726,.011928052,.0091850525,.0090883877,.011207579
5,.47023165,.93863529,.0018280107,.23898146,.0086614573,.0092302822,.01060505,.012469104
6,.48248765,1.0029963,-.038021028,.26556566,.0055755512,.0082280654,.0066377949,.011749088
7,.46359658,1.006259,-.07906577,.27686855,.005091696,.010510031,.0054593696,.013178322
8,.44370919,.990475,-.10305659,.27896214,.0040692841,.0092701372,.0033656254,.011730098
9,.50989205,1.0693306,-.049546476,.28542781,-.0009108801,.0072361482,.00021467062,.0092899697
