horizon,bh,up95,low95,seh
-3,-.3300494,.051383808,-.71148258,.19460878
-2,-.17400013,.082554519,-.43055478,.13089523
-1,0,0,0,0
0,-.092024535,.082152829,-.26620191,.088866003
1,-.23614058,.07648965,-.54877079,.15950522
2,-.19176917,.14967099,-.53320932,.17420416
3,-.24047212,.078510605,-.55945486,.1627463
4,-.23769687,.027012546,-.5024063,.13505583
5,-.26447728,.10672462,-.63567919,.18938872
6,-.37075326,.13199772,-.87350422,.25650561
7,-.45107844,.043615144,-.94577205,.25239468
8,-.31690177,.31706065,-.9508642,.32345021
9,.127367,.92799288,-.67325884,.40848258
