horizon,bh,up95,low95,seh
-3,.01745908,.21737616,-.182458,.10199852
-2,-.09670388,.054787531,-.24819529,.077291541
-1,0,0,0,0
0,.14709049,.30232954,-.008148565,.079203606
1,.13775858,.28908688,-.013569722,.077208318
2,.085618161,.21335506,-.042118751,.06517189
3,.26881072,.42332298,.11429846,.07883279
4,.40001762,.61188871,.18814653,.10809749
5,.41321516,.7229448,.10348555,.15802531
6,.27987957,.57889485,-.019135723,.15255882
7,.55951715,.8656323,.25340199,.1561812
8,.5805068,.92556185,.23545174,.1760485
9,.73456955,1.0851107,.3840284,.17884752
