horizon,bh,up95,low95,seh
-3,.12322075,.26823461,-.021793105,.073986657
-2,.11915646,.21244605,.025866881,.047596727
-1,0,0,0,0
0,.076552853,.16199253,-.0088868272,.043591674
1,.18727694,.35737771,.01717617,.086786106
2,.15575475,.37369269,-.062183205,.11119283
3,.13628727,.39236566,-.11979111,.13065223
4,.24322467,.57891005,-.092460692,.17126805
5,.41355458,.82457876,.0025303892,.20970622
6,.44342515,.88370955,.0031407294,.2246349
7,.42017287,.88305897,-.042713251,.23616639
8,.41525358,.88312203,-.052614894,.23870841
9,.48251906,.95799291,.0070452285,.24258868
