horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.047532093,.16426551,-.069201328,.059557866,.04885878,.072278805,,
-2,-.016381811,.086513132,-.11927675,.05249742,.032916132,.054181416,,
-1,0,0,0,0,0,0,,
0,.11038387,.2122798,.008487937,.051987719,.0093804765,.03943735,.014097952,.03209326
1,.081573479,.26620775,-.1030608,.094201162,.10796171,.070996501,.1125213,.064824656
2,.16892308,.39282632,-.054980151,.11423634,.11379319,.073694706,.12649848,.066745654
3,.27437857,.49395439,.054802753,.11202848,.10150307,.079428338,.10983641,.079684891
4,.2768108,.52819663,.025424985,.12825806,.15001236,.095380217,.1588164,.094116159
5,.3953684,.678294,.11244278,.1443498,.20392181,.11914641,.19749485,.12035584
6,.26072633,.52423531,-.002782638,.13444336,.11540151,.13275605,.10924762,.13116065
7,.083746389,.2235143,-.056021523,.071310155,.081741206,.17174524,.095828809,.15977789
8,.1615029,.37081927,-.047813475,.10679407,.22899982,.17095895,.22050793,.16435289
9,.18084,.48917598,-.12749596,.15731427,.20322973,.18991616,.19228591,.19830173
