horizon,bh,up95,low95,seh
-3,.031508412,.12414559,-.061128765,.047263868
-2,-.024380026,.030401446,-.079161502,.027949732
-1,0,0,0,0
0,.045921698,.10330053,-.011457141,.029274918
1,.11520816,.22683817,.0035781423,.05695409
2,.18825036,.32846373,.048036981,.071537443
3,.27683863,.43889105,.11478622,.082679808
4,.32996735,.53690165,.12303307,.10557871
5,.2871708,.5562591,.018082498,.13728994
6,.24581183,.50090444,-.0092807775,.13014929
7,.33072883,.62378293,.037674751,.14951739
8,.27190411,.64463574,-.10082754,.19016922
9,.17763378,.63703853,-.28177097,.23439018
