horizon,bh,up95,low95,seh
-3,.14453252,.3003757,-.011310677,.079511836
-2,.12871832,.22355415,.033882491,.048385624
-1,0,0,0,0
0,.078081697,.16383062,-.0076672225,.043749448
1,.21586969,.40541396,.026325442,.096706249
2,.21477911,.45595849,-.026400272,.1230507
3,.22843738,.50265563,-.045780875,.13990727
4,.2971389,.6039204,-.0096426066,.15652117
5,.55312794,.93550384,.17075203,.19508976
6,.58174294,.99672544,.16676041,.21172577
7,.5649637,.98084968,.14907771,.21218672
8,.52917618,.92881644,.1295359,.2038981
9,.59676427,.98759812,.20593038,.19940504
