horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.0035936651,.37652278,-.36933547,.19026996,.25869596,.53270251,,
-2,.020720152,.24503069,-.20359038,.11444414,-.25459811,.23376471,,
-1,0,0,0,0,0,0,,
0,.74690473,.95904601,.53476346,.10823535,-.72916567,.24453323,-.19344553,.3244797
1,.92382246,1.2892271,.55841786,.18643093,-.9387393,.52842027,-.35533753,.57170761
2,.72316736,1.2175548,.22877985,.25223851,-.81569201,.92635733,-.49577335,.93000388
3,.48487803,1.0607754,-.091019295,.29382518,-.001841769,1.0273632,.070115395,.97437912
4,.45754138,1.0188138,-.10373107,.28636348,.44904688,1.4553784,.37796077,1.2386501
5,.49704802,1.1725678,-.17847177,.34465295,-.12138787,1.2624068,.041045804,1.1483682
6,.084888436,.87307733,-.70330048,.40213719,.086363271,1.1513519,.29595104,1.070792
7,-.15870395,.81902623,-1.1364342,.49884194,-.022430159,1.2755306,.16710243,1.1783924
8,-.20899087,.77064329,-1.1886251,.49981335,-.52113175,1.4055036,-.49439594,1.3192432
9,-.10434733,.57989138,-.78858602,.34910136,-.98394328,1.5636086,-.61017013,1.5371971
