horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.14680396,.30643687,-.012828946,.081445359,-.056998465,.04460866,,
-2,.12330552,.21945664,.027154399,.049056694,-.019133672,.02097285,,
-1,0,0,0,0,0,0,,
0,.084962577,.18119578,-.011270622,.04909857,.016107116,.02032187,.013381218,.019737624
1,.22682099,.434295,.019346982,.10585409,.03650102,.048680358,.035141733,.051295765
2,.19412737,.45982236,-.071567625,.13555866,.034362815,.063438654,.039486855,.061339945
3,.15935156,.46827042,-.14956731,.15761167,.060955178,.084936664,.049647294,.085571751
4,.22280486,.58335775,-.13774805,.18395557,.052026827,.10394955,.013584497,.11379856
5,.47194883,.93153828,.012359387,.2344844,.0038673379,.14451063,.0029242721,.14959824
6,.48861665,1.0015529,-.024319626,.26170218,-.0053780829,.16726696,.01501339,.17063388
7,.48159492,1.017224,-.054034084,.27328011,-.0887715,.19422331,-.065316565,.18825957
8,.47045437,1.0488425,-.10793378,.29509598,-.17232913,.23007825,-.1388659,.21243994
9,.52820218,1.0969112,-.040506821,.29015765,-.14940429,.24494378,-.12140279,.22386341
