horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.00097709859,.090137303,-.088183105,.0454899,.49391991,.23174958,,
-2,-.014601586,.028798528,-.058001701,.022142915,.17950162,.12171341,,
-1,0,0,0,0,0,0,,
0,.044070765,.11165655,-.023515016,.034482542,-.041329477,.1466694,-.0018280692,.13904336
1,.16242932,.30200848,.022850148,.071213864,-.30355018,.24239637,-.1331654,.2578226
2,.24970378,.40423623,.09517134,.07884308,-.36646447,.31575623,-.11851088,.33701831
3,.32588941,.49784648,.15393232,.087733209,-.32313156,.38998383,.071499072,.40336588
4,.42979264,.65389532,.20568997,.1143381,.063599274,.55634421,.53184974,.53509593
5,.41131428,.69757998,.12504856,.14605394,.12629999,.56531477,.56401062,.53056574
6,.35610646,.6573168,.054896101,.15367876,.14653215,.58804834,.53612387,.54229891
7,.41496849,.76494396,.064993024,.17855892,.14243138,.62580931,.67911541,.59698224
8,.44240957,.93336821,-.048549078,.25048912,-.093569703,.66121328,.64566857,.63576078
9,.24943855,.72574723,-.22687013,.24301463,.42503706,.83302951,.97371238,.74336594
