horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.014891196,.15063125,-.12084886,.069255129,.31388599,.23761034,,
-2,-.01872169,.05721255,-.094655931,.038741957,.2176632,.13517588,,
-1,0,0,0,0,0,0,,
0,.054243945,.15813659,-.049648695,.053006448,-.15895617,.12803443,-.19278927,.14329775
1,.031214371,.14370206,-.08127331,.057391677,-.15958527,.12463108,-.12578002,.14734779
2,.024538646,.12951936,-.080442071,.053561591,-.26515719,.19683827,-.16713746,.14931585
3,-.026858581,.10620521,-.15992238,.06788969,-.35729489,.22795115,-.23990057,.18548125
4,-.0048914305,.14629486,-.15607773,.077135868,-.270758,.26170012,-.27455103,.2389046
5,.15402052,.31815121,-.010110168,.083740145,-.33384299,.29455334,-.21639378,.2727384
6,.11462815,.25353003,-.024273708,.070868298,-.64827454,.32343969,-.45738494,.32058248
7,.054095194,.23076442,-.12257403,.090137362,-.56553078,.31228435,-.47406358,.31408742
8,.046665136,.22378239,-.13045211,.090365946,-.22132422,.27228585,-.28578687,.29565388
9,.12938644,.2867789,-.028006017,.080302276,-.32686228,.29265496,-.38021258,.27828956
