horizon,bh,up95,low95,seh
-3,-.040410116,.24180336,-.32262361,.14398648
-2,-.0031851551,.22237337,-.22874367,.11508088
-1,0,0,0,0
0,.17261472,.42621589,-.080986448,.12938835
1,.1552172,.56219602,-.25176162,.20764226
2,.11706116,.62849343,-.39437109,.26093483
3,.3430391,.92234176,-.23626357,.2955626
4,.063741326,.73829913,-.61081648,.34416214
5,.27789748,.87260729,-.31681231,.30342335
6,.36681163,.88894022,-.15531693,.26639211
7,.48346868,.94000667,.026930699,.23292755
8,.57044315,.87121624,.2696701,.15345564
9,.31973532,.59559196,.043878682,.14074318
