horizon,bh,up95,low95,seh
-3,-.33230978,.075447403,-.74006695,.20803937
-2,-.29579073,-.019884301,-.57169718,.14076859
-1,0,0,0,0
0,.71839768,.90601069,.53078467,.095720939
1,.80808461,1.1541591,.46201012,.17656861
2,.57075244,1.0725173,.06898763,.25600246
3,.50066912,1.112895,-.11155678,.31236017
4,.48202997,1.1936949,-.22963499,.36309436
5,.41219795,1.4554887,-.63109279,.53229117
6,-.014180874,1.3089737,-1.3373355,.67507887
7,-.30179125,1.2322848,-1.8358673,.78269184
8,-.36673912,1.0975078,-1.8309861,.74706477
9,-.3768163,.92853016,-1.6821628,.66599309
