horizon,bh,up95,low95,seh
-3,-.03224656,.10261905,-.16711217,.068808988
-2,.0023896992,.093570903,-.088791505,.046521023
-1,0,0,0,0
0,-.066244543,.010159035,-.14264812,.038981419
1,-.04426923,.079130724,-.16766919,.062959164
2,-.13757867,.021190282,-.29634762,.081004567
3,-.25217521,-.0041120122,-.50023842,.12656286
4,-.24660316,.002433463,-.49563977,.1270595
5,-.12955315,.15783611,-.41694242,.14662717
6,-.078041248,.18624291,-.34232542,.13483885
7,.033518806,.37499529,-.30795768,.17422269
8,.14119016,.62179482,-.33941451,.24520646
9,.13529184,.60975713,-.33917344,.24207412
