horizon,bh,up95,low95,seh
-3,.030805115,.14406787,-.082457639,.05778712
-2,.015566936,.075636387,-.044502515,.030647678
-1,0,0,0,0
0,-.0070110229,.05165619,-.065678239,.029932251
1,.067340225,.18710262,-.052422166,.061103258
2,.14078075,.28823748,-.0066759912,.075233027
3,.26347423,.4599286,.067019843,.10023183
4,.2293247,.47047395,-.011824556,.12303533
5,.35888436,.64464009,.073128633,.14579374
6,.29374355,.55531853,.032168575,.13345662
7,.26520163,.56989676,-.03949352,.15545671
8,.072793745,.50935203,-.36376452,.22273381
9,.1396008,.60107666,-.32187507,.23544687
