horizon,bh,up95,low95,seh
-3,.0011496977,.34848705,-.34618765,.17721294
-2,.065538406,.39828178,-.26720497,.16976702
-1,0,0,0,0
0,.22038656,.52328289,-.082509771,.15453894
1,.22081497,.71288836,-.27125838,.25105783
2,.2175976,.75854105,-.32334584,.27599156
3,.35724273,.97322732,-.25874186,.31427786
4,.086132705,.77368027,-.60141486,.35078955
5,.40065688,1.030283,-.22896925,.32123783
6,.50042647,1.0312743,-.030421387,.27084073
7,.56390351,1.1599447,-.032137692,.30410266
8,.38536158,.84105849,-.070335343,.23249844
9,.2154434,.65373617,-.22284935,.22361876
