horizon,bh,up95,low95,seh
-3,.14712851,.39110109,-.096844085,.12447581
-2,-.066180058,.072388478,-.20474859,.070698231
-1,0,0,0,0
0,.48403239,.73021257,.23785222,.12560213
1,.60948783,.89878654,.32018915,.14760138
2,.4725782,.78885508,.15630133,.16136575
3,.42871937,.79042017,.067018569,.18454123
4,.40418175,.80261552,.0057479972,.20328252
5,.32742557,.79049045,-.13563929,.23625758
6,.1858931,.6641413,-.29235506,.24400416
7,.074718222,.57321721,-.42378074,.25433621
8,-.12016726,.50446981,-.74480432,.31869239
9,-.20587972,.35682049,-.76857996,.28709194
