horizon,bh,up95,low95,seh
-3,.03826395,.16201091,-.085483007,.063136205
-2,.0064472156,.095128886,-.082234457,.045245752
-1,0,0,0,0
0,.06982974,.14452878,-.004869292,.03811175
1,.0090679741,.16919047,-.15105452,.081695147
2,.048713107,.22435862,-.12693241,.089615062
3,.12749892,.31770331,-.06270545,.097043052
4,.1546506,.38704985,-.077748656,.11857105
5,.23455317,.54047579,-.071369439,.15608297
6,.15557179,.45382285,-.14267927,.15216891
7,.015305345,.16948909,-.13887841,.078665175
8,.068650991,.44817573,-.31087375,.19363508
9,.083946854,.45811319,-.29021949,.19090119
