horizon,bh,up95,low95,seh
-3,.0280124,.11416202,-.058137219,.043953888
-2,.0019124015,.043909755,-.040084951,.021427222
-1,0,0,0,0
0,.069912687,.13380988,.0060155001,.032600604
1,.14190926,.24697135,.036847159,.053603113
2,.22215161,.36752528,.07677792,.074170247
3,.35184491,.52205813,.1816317,.086843468
4,.41812226,.64048564,.19575888,.11345071
5,.41105592,.71408343,.1080284,.15460588
6,.34224427,.66604829,.018440219,.16520615
7,.33900642,.69951445,-.021501603,.18393266
8,.38693157,.84191424,-.068051115,.23213401
9,.34333467,.75715202,-.070482671,.2111313
