horizon,bh,up95,low95,seh
-3,-.080125727,.20084789,-.36109936,.14335389
-2,.0043089935,.18578504,-.17716706,.092589818
-1,0,0,0,0
0,.70721406,.90443635,.50999177,.10062362
1,.85706311,1.2050582,.50906801,.17754853
2,.62125719,1.0842626,.15825181,.23622723
3,.55475527,1.1003464,.0091641312,.27836284
4,.41696918,.9369573,-.10301894,.26530007
5,.47769406,1.2741505,-.31876233,.40635529
6,.068258494,.95586622,-.81934923,.45286107
7,-.23235831,.84956801,-1.3142846,.5520032
8,-.27719244,.76759285,-1.3219777,.5330537
9,-.19614671,.66070282,-1.0529963,.43716812
