horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.033440009,.20928231,-.14240229,.089715458,-.010188346,.024848593,,
-2,-.014610711,.066579841,-.095801264,.041423749,.013457114,.017969616,,
-1,0,0,0,0,0,0,,
0,-.057947185,.01293095,-.12882532,.036162313,.018704735,.016979147,.0065926206,.015487519
1,.017179929,.15281433,-.11845447,.069201224,.039135251,.015552592,.035608515,.019150775
2,.18433163,.36081418,.0078490628,.090042122,.003241939,.027802724,.020886527,.026149133
3,.35869175,.61579442,.10158908,.13117483,-.022273455,.049379382,.020321099,.045488179
4,.27784446,.59883863,-.043149691,.16377252,-.0030780854,.051801991,.033385254,.037765589
5,.41575968,.77371705,.057802312,.18263131,-.036726575,.062480632,.037882965,.046562158
6,.20411925,.61896265,-.21072412,.21165478,.038842287,.069031693,.048176967,.036057536
7,.17134573,.63328266,-.29059118,.2356821,.028645283,.068843074,.03018971,.046778932
8,.066453442,.63712692,-.50422001,.29115993,.024523353,.080805339,-.002281772,.071195379
9,.063337006,.71805334,-.59137934,.33403894,.0089218514,.094954655,-.015251194,.076066844
