horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.062245548,.36493263,-.24044155,.15443219,-.017284082,.099430807,,
-2,-.028714707,.16570158,-.223131,.099191986,-.031579152,.047163922,,
-1,0,0,0,0,0,0,,
0,.74242365,.95379978,.53104752,.10784495,.010094353,.055553544,.036790647,.067914464
1,.90641725,1.2757421,.53709251,.18843101,-.006711178,.12105427,.03586939,.14348085
2,.68696302,1.19487,.17905605,.2591362,-.000067114066,.15869129,.027022488,.17590469
3,.58762604,1.1764449,-.0011927977,.30041778,.071582563,.21468748,.050315276,.22370413
4,.50338256,1.0934888,-.086723723,.30107462,.12815355,.26776299,.088720106,.2755174
5,.53340811,1.3312923,-.26447603,.40708375,.053892825,.3785108,.091101877,.38264674
6,.16940106,.99582309,-.65702093,.42164388,.17064697,.41816625,.16364506,.4160085
7,-.1142485,.94022042,-1.1687174,.53799433,.14920902,.3967458,.10415246,.39596441
8,-.19288252,.93282765,-1.3185927,.57434195,.23197562,.36938131,.17701243,.36495516
9,-.20340954,.76632416,-1.1731433,.49476209,.22337143,.38269877,.23410174,.40385628
