horizon,bh,up95,low95,seh
-3,.048880205,.16789892,-.070138514,.060723834
-2,.0087223416,.073502511,-.056057829,.033051107
-1,0,0,0,0
0,-.07297983,.0075663375,-.15352599,.041094985
1,-.094082467,.035320003,-.22348493,.066021666
2,-.15920658,.011111607,-.32952479,.086897038
3,-.19541827,.030474879,-.42131141,.11525161
4,-.19453196,.056765791,-.44582972,.12821314
5,-.17738561,.15796112,-.51273233,.17109527
6,-.068162821,.26802152,-.40434715,.17152262
7,.012323714,.38772416,-.36307672,.19153084
8,.072664514,.52821702,-.38288799,.23242474
9,-.060011685,.42081591,-.54083925,.2453202
