horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,-.073140748,.21756004,-.36384153,.14831673,-.12997676,.53210884,,
-2,-.092296243,.084004544,-.26859704,.089949377,-.60757071,.27396607,,
-1,0,0,0,0,0,0,,
0,.66030639,.87603301,.44457978,.1100646,-.58260065,.26265675,-.18250437,.34229332
1,.72672379,1.0958781,.35756952,.18834402,-.17278503,.4661662,.17333944,.58802831
2,.52550733,1.0022579,.04875667,.24324013,.44240737,.75291854,.47896823,.81787527
3,.2620154,.78410178,-.26007101,.26637062,1.1210282,.69574171,.92671132,.73152703
4,.24241675,.79294461,-.30811107,.28088155,1.6370727,.75514841,1.4579052,.72276622
5,.063671492,.71807581,-.59073281,.33387974,1.844777,.82269144,1.5538975,.71595424
6,-.24723548,.43338555,-.9278565,.34725562,2.5237923,.83089817,1.9999652,.67288226
7,-.31848568,.28968835,-.9266597,.31029287,2.6086285,.93456644,2.1389511,.81723499
8,-.46228054,.16947521,-1.0940363,.32232437,2.4815331,1.0160296,1.884609,.91550946
9,-.45934451,.18000782,-1.0986968,.32620016,2.3426774,1.0287129,1.7937849,.88683087
