horizon,bh,up95,low95,seh
-3,.10692345,.27852425,-.064677335,.087551422
-2,.061189383,.16958942,-.047210649,.05530614
-1,0,0,0,0
0,.098242424,.19985396,-.0033691097,.051842619
1,.22494045,.43310636,.016774543,.1062071
2,.19828992,.46823174,-.071651898,.13772541
3,.23404108,.56141776,-.093335591,.16702892
4,.45778227,.93802536,-.022460788,.24502197
5,.73418146,1.3489884,.11937454,.31367701
6,.77081287,1.4248375,.11678822,.33368605
7,.7621218,1.4714316,.052811947,.36189279
8,.77663571,1.5485051,.004766346,.3938109
9,.79394561,1.5644064,.023484781,.39309227
