horizon,bh,up95,low95,seh
-3,-.034041774,.29494771,-.36303124,.16785178
-2,-.016046051,.20961878,-.24171089,.11513512
-1,0,0,0,0
0,.184553,.49501848,-.12591249,.15840076
1,.17866926,.6610316,-.30369306,.24610323
2,.16539046,.69038653,-.35960561,.26785514
3,.23045711,.79780191,-.33688772,.28946164
4,.10010342,.67152148,-.47131464,.29153982
5,.36115858,1.0021858,-.27986866,.32705471
6,.47053993,1.0733266,-.13224672,.3075442
7,.47780898,1.1078537,-.1522357,.32145137
8,.35151121,.95580572,-.25278333,.30831352
9,.24737394,.82313603,-.32838815,.29375616
