horizon,bh,up95,low95,seh
-3,-.10050749,.097238146,-.29825312,.10089063
-2,-.14953458,-.014216252,-.28485292,.069039963
-1,0,0,0,0
0,.55811715,.72408593,.39214835,.084677957
1,.61600828,.91635484,.31566173,.15323803
2,.46332064,.85956782,.067073494,.20216691
3,.38545531,.79592931,-.025018673,.20942551
4,.36448792,.80072409,-.071748242,.22256947
5,.26557806,.84153914,-.31038302,.29385769
6,.091540448,.69323242,-.51015151,.30698571
7,-.097030096,.47238076,-.66644096,.29051575
8,-.17465779,.43993479,-.78925037,.31356764
9,-.29171726,.30551144,-.88894594,.30470851
