horizon,bh,up95,low95,seh,bh_store,seh_store,bh_store_nopeg,seh_store_nopeg
-3,.056960236,.16388476,-.049964286,.05455333,-.42036918,.134699,,
-2,.029504396,.1224994,-.063490607,.04744643,-.52478516,.1324932,,
-1,0,0,0,0,0,0,,
0,.1618821,.24804136,.075722851,.043958802,.027237415,.13336527,.021867612,.13116194
1,.075554065,.2667481,-.11563996,.097547971,.43912381,.27671611,.746746,.34576714
2,.17613912,.45816299,-.10588475,.14388973,.27580771,.36896679,.6670844,.39282373
3,.28048712,.55639476,.0045794635,.14076921,.24130931,.37079152,.67923421,.34226796
4,.31448725,.6278429,.0011315692,.15987535,.27580491,.49332201,.85832906,.491267
5,.42001101,.7737236,.06629841,.18046561,.1876967,.65772885,.9882887,.63788062
6,.16740726,.48519295,-.15037845,.16213557,.12111658,.74053741,1.0718199,.70996082
7,-.013346557,.31184584,-.33853894,.16591449,.6578362,.78347212,1.6669261,.75791258
8,-.00043633842,.37377274,-.37464544,.19092301,1.2683686,.84039038,1.81015,.725537
9,-.10058984,.31239071,-.51357043,.21070437,1.7251474,.85196018,2.1800373,.69207984
