horizon,bh,up95,low95,seh
-3,-.00056310202,.12993647,-.13106269,.066581421
-2,-.018043751,.059173904,-.09526141,.039396763
-1,0,0,0,0
0,.066078663,.16384554,-.031688221,.049881063
1,.080899499,.19023918,-.02844017,.055785544
2,.050830271,.12932073,-.027660185,.040046152
3,.0078125764,.091340885,-.075715736,.042616487
4,.079753272,.20161073,-.042104185,.062172171
5,.24350187,.41182473,.075179011,.085879013
6,.17511068,.32542014,.024801213,.076688506
7,.13757904,.30498937,-.0298313,.085413441
8,.17065255,.34274822,-.0014431142,.087803915
9,.23166627,.40263891,.060693618,.087230943
