horizon,bh,up95,low95,seh
-3,.035390198,.15102357,-.08024317,.058996614
-2,-.0051174522,.061602604,-.071837507,.034040846
-1,0,0,0,0
0,-.025922967,.052343063,-.104189,.039931647
1,.082482956,.22328182,-.058315907,.071836151
2,.19324692,.34101546,.045478381,.075392112
3,.32484663,.54035205,.10934123,.10995173
4,.24811292,.48034745,.015878372,.11848702
5,.30965078,.57071203,.048589509,.13319452
6,.15065198,.44378906,-.1424851,.14955974
7,.20196366,.51938218,-.11545485,.16194822
8,.055869091,.50696218,-.395224,.23014955
9,.05735673,.55095923,-.43624577,.25183803
